SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,id,Indegree,IsSingleNode,moduland_bridgeness,moduland_overlap,Module_Color,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
174,4.4902746,0.00117766,0.22270353,0.42948718,16,93,K01805,49,FALSE,0.160596997,1.486428976,24,K01805,42.90384615,44,41,FALSE,0,K01805,1389345
175,6.48455378,7.78E-04,0.15421262,0,17,4,K14274,3,FALSE,2.939888,2.95864296,225,K14274,5,1,1,FALSE,0,K14274,1880971
176,3.8458238,0.04839011,0.26002231,0.17985893,15,153,K00011,77,FALSE,352.2789612,1.696846962,24,K00011,41.81818182,76,65,FALSE,0,K00011,201903063
177,4.83352403,0.00140468,0.20688839,0.4,16,10,K03331,5,FALSE,0.391088009,5.512059212,24,K03331,22.4,5,5,FALSE,0,K03331,740378
178,7.48312357,3.82E-04,0.13363404,0.6,18,5,K14273,4,FALSE,7.730083942,1.586469054,24,K14273,31,1,0,FALSE,0,K14273,1263476
179,5.60955378,4.17E-04,0.1782673,0.16666667,17,5,K13247,2,FALSE,2.301377058,12.31651306,24,K13247,8,3,2,FALSE,0,K13247,310738
180,4.49971396,0.00225848,0.22223635,0.39572193,16,59,K00963,25,FALSE,0.265965015,3.128827095,24,K00963,36.82352941,34,25,FALSE,0,K00963,4140226
181,4.81521739,0.01012436,0.20767494,0.19435216,16,51,K00699,40,FALSE,13.4656992,6.736400127,54,K00699,28.60465116,11,8,FALSE,0,K00699,15207880
182,4.50629291,0.00512855,0.2219119,0.38227513,16,46,K00012,18,FALSE,5.002641201,3.54432106,27,K00012,32.25,28,18,FALSE,0,K00012,6294998
183,6.13300915,7.30E-05,0.1630521,0.53333333,18,10,K16190,6,FALSE,0.484986991,5.652945995,54,K16190,14,4,4,FALSE,0,K16190,47671
184,5.18621281,4.56E-04,0.19281893,0.48611111,17,18,K12447,9,FALSE,0.524634004,5.868136883,54,K12447,13.44444444,9,9,FALSE,0,K12447,947885
185,6.09868421,0.00224958,0.1639698,0.22222222,17,16,K01812,9,FALSE,1.887351036,6.163520813,54,K01812,9.777777778,7,7,FALSE,0,K01812,5879076
186,5.53461098,1.82E-04,0.18068117,0,16,4,K00040,2,FALSE,0.01441,9.845227242,0,K00040,8.5,2,2,FALSE,0,K00040,763405
187,4.5666476,6.25E-04,0.21897902,0.75,15,16,K01686,8,FALSE,3.58E-04,4.758686066,0,K01686,20.875,8,8,FALSE,0,K01686,1169817
188,4.5666476,3.31E-04,0.21897902,0.82142857,15,16,K01685,8,FALSE,3.69E-04,4.758686066,0,K01685,21.125,8,8,FALSE,0,K01685,1169813
189,5.5340389,5.46E-04,0.18069985,0.5,16,8,K00041,4,FALSE,0.065861002,7.782697201,0,K00041,8.25,4,4,FALSE,0,K00041,2290215
190,6.49828375,0,0.15388679,0.5,18,3,K08092,1,FALSE,0.749655008,12.16934109,24,K08092,6.5,2,1,FALSE,0,K08092,0
191,7.09439359,4.90E-04,0.14095637,0.4,18,8,K01213,3,FALSE,0.409482986,5.312223911,54,K01213,5.4,5,3,FALSE,0,K01213,1754539
192,7.27889016,2.37E-05,0.13738358,0.3,19,8,K01051,3,FALSE,0.309386998,5.312223911,54,K01051,4,5,3,FALSE,0,K01051,9552
